Image,Vehicle_Count,Traffic_Density
A:/ai_project/traffic-detection-project/train/images\aguanambi-2990_png_jpg.rf.15fa64b1116cfcfcb8a72fd4d5422151.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-2990_png_jpg.rf.2fe5e8bac707f508e93d065a1c898f30.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-2990_png_jpg.rf.7c485df74ebd9a0864117dc1f195ebe4.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-2990_png_jpg.rf.961afc2d8338afda34071ee7aa7ff8c5.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-2990_png_jpg.rf.ae7e80fbecdc14a16b006a957f975238.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-2990_png_jpg.rf.fc958743c51030ca6d5200809423e88a.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-2995_png_jpg.rf.903bbf9255310e5b96f0e993309a9f28.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-2995_png_jpg.rf.9a8669f5accc07feeacac0b12f8cc3a1.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-2995_png_jpg.rf.f9be18bfce3fa6a4ca8a44cd7a05069c.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3100_png_jpg.rf.2253e4fa23e26c411af2f1250e75822b.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3100_png_jpg.rf.6a4f8d75809bde13c30974244a824ca8.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3100_png_jpg.rf.e5b81846b2b793e503b03f242d21c2a7.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3110_png_jpg.rf.64eb7b59c1773f3be8dcc76b923eb247.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3110_png_jpg.rf.719db2032c6cb98e00c1f968896a2720.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3110_png_jpg.rf.85e45929b1da6b0d7b2cbd6ca5cf9da5.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3110_png_jpg.rf.90842d0cc64f82c18d84d879fa265595.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3110_png_jpg.rf.aed92fd8a50ca2921b22f5233e850c97.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3110_png_jpg.rf.c82cb9715a5b749d2d4b5adcb9ecc0db.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3115_png_jpg.rf.0ce46f7719ed3125037ab8211cb157cd.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3115_png_jpg.rf.73d4455bba5cad20383d428d27505b7f.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3115_png_jpg.rf.73de2f319ebf43f5fa7ed427c847afe6.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3120_png_jpg.rf.081b1cc9d12447fcffb2d83cb5bdacaf.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3120_png_jpg.rf.4d2c018fb974d803e84a26bb88a3a962.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3120_png_jpg.rf.4e713f01801c0ad4c7f7b28a0b307293.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3120_png_jpg.rf.8cf85cb2a979b74fd81a7c7eee1acded.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3120_png_jpg.rf.bf1968a530430857d896cf99ef6f2f1d.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3120_png_jpg.rf.d6a6cbf80b8a22960d20c8ca4efddc4a.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3125_png_jpg.rf.5770a3b377c233399e3e3dfb8fb9eab8.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3125_png_jpg.rf.7f68952043911f34166ed16887378a5f.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3125_png_jpg.rf.c89c268375036048c9974f93d5b806e2.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3130_png_jpg.rf.0fed39ab1b00761d72243b2cf6c932ca.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3130_png_jpg.rf.2665c83996cfb7c707edb75592261295.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3130_png_jpg.rf.3923ce8072c239fc898f4f6e3446ea84.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3135_png_jpg.rf.04e0726b0fd74e28083c6c1da51f7979.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3135_png_jpg.rf.070647d8f9026036377565d3a0ec7fe8.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3135_png_jpg.rf.381d90209f1937a97a7a97078dc14c4a.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3135_png_jpg.rf.4985262999860c390a30fd02642812c0.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3135_png_jpg.rf.c7c9f1ba683201fb094e5dfadfe61237.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3135_png_jpg.rf.f6da3d4bc62c68a07ff8b9a599fa61ba.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3140_png_jpg.rf.0dfb74cd2dcdb888c0d4c8afe8502f10.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3140_png_jpg.rf.1bc9d9dad2386bb8539624961cda03b1.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3140_png_jpg.rf.2f3ce3e5f66bfa19baed4de5008bb4f4.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3140_png_jpg.rf.31487bc0305a1efc8336ed3f8ca32b36.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3140_png_jpg.rf.e0e1aa0b6fcfb7cbcf1b64bc0e37b0f4.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3140_png_jpg.rf.f37bda688de6bf3ff802cfbb70f80595.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3145_png_jpg.rf.1bf63c095df7ad240ef67d2d300fa306.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3145_png_jpg.rf.326457f9136000882504d79f339f6e7d.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3145_png_jpg.rf.657ea25540b977d80b859896334ede65.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3145_png_jpg.rf.b5afa74464269818179064086bd88a7e.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3145_png_jpg.rf.cd73f73df210e4b8ca76b82e072d4aee.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3145_png_jpg.rf.ebf5f90c52ed0539c2d001e828812133.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3245_png_jpg.rf.1c6700a4ca6e76074851f323877507ef.jpg,0,0
A:/ai_project/traffic-detection-project/train/images\aguanambi-3245_png_jpg.rf.1fd60d1035bbddc3aeb61fad92097465.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3245_png_jpg.rf.2f105c0a1534d1d3aee539c764d412ab.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3245_png_jpg.rf.744d6176d7c9685ab9751bddb5a7d2a7.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3245_png_jpg.rf.7b1595114e8e13742e016651c1d9d657.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3245_png_jpg.rf.bccde66b9624a82e51b7f31582d9457d.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3250_png_jpg.rf.2edabcd7d27a46cdf5719dc298a0c49d.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3250_png_jpg.rf.e7fdf3fd657e20b0808cb87a6fa63fd1.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3250_png_jpg.rf.ebc81570d187fd07e8545d87de3000de.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3255_png_jpg.rf.348da188ec6a57831ae8146b04362c1c.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3255_png_jpg.rf.4caa839b3cffea41fce1a3af8eceecf1.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3255_png_jpg.rf.aface42e472bbd0beb9c8a14891283d2.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3260_png_jpg.rf.5015dec109b3ea80e5a651be9c7ae9cb.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3260_png_jpg.rf.639ec172042a02131eb037de8db425cd.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3260_png_jpg.rf.ffc2b33558ce9339d0aa992d1d3979c8.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3265_png_jpg.rf.91606c78f1d66e4993353ce4755c1972.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3265_png_jpg.rf.9c739b6b84377653f4fb002cc05e30e4.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3265_png_jpg.rf.b313551f84a86252f154c80875ea6183.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3270_png_jpg.rf.6955cac5a258e0e861440565152740a1.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3270_png_jpg.rf.b20bf5de6b2ee7b66821a04c638769f1.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3270_png_jpg.rf.bc30c5afeb0ce4319bf2ad2730f06852.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3275_png_jpg.rf.662ff282c584a0826840bb8c3bb67e68.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3275_png_jpg.rf.843c2e613025733ea24f2ca343a506cf.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3275_png_jpg.rf.8b22f050dc949f1080af7f25f34723b3.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3285_png_jpg.rf.3acbca57218f071f3197c37f3395ad7e.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3285_png_jpg.rf.4d0705518130845dfc4935d3f085d08a.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3285_png_jpg.rf.76d2b9df5cfcfeba3f86a5f681e2f0a3.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3285_png_jpg.rf.7a3f91653dbe6ea2ddce10eb91339e5f.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3285_png_jpg.rf.b5c8176c2d2f572e3e744e0403c34a02.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3285_png_jpg.rf.d93554660a028b629ebb63255971b524.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3390_png_jpg.rf.15f49f0c0304042e44c6b6e3dd8d69ba.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3390_png_jpg.rf.22c60b50eaf9a12c0730fe3f255a28ee.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3390_png_jpg.rf.98f5b5464a0ba001ece4bbcb50b56add.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3395_png_jpg.rf.06bf9791cc255f348490f2b50e53378c.jpg,10,2.44E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3395_png_jpg.rf.13d49a09f55d16f70ceb11f0f0c259d6.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3395_png_jpg.rf.51d25f3f58035f5b8ee8048d0499a19e.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3395_png_jpg.rf.60b513b1601502a5e3be695a082d2ad8.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3395_png_jpg.rf.a1ea21a6545e849d5c727cfadea20e45.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3395_png_jpg.rf.ea945a94d4b51161c45e9c614f2d7bb3.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3400_png_jpg.rf.179fe6810fb2213d7d31a14f276b8255.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3400_png_jpg.rf.4206138d934a915de9ddb421bfa628b0.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3400_png_jpg.rf.6ac43a46b59a60fe82c7b9bcdddc7307.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3405_png_jpg.rf.24c7023c585d4d33483e8471a01e362e.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3405_png_jpg.rf.485b6b4841c34c3af0e886ed9cfaa7e2.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3405_png_jpg.rf.b5db0b884284fa14cbdf60642ef8e82b.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3410_png_jpg.rf.1e1204be48cdf8e318da4f86b80ddd54.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3410_png_jpg.rf.4f1ebdc0da194805a87b8eb083926442.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3410_png_jpg.rf.6ab9d9f0ffa9749323e5832449a1eef5.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3420_png_jpg.rf.27212d0732c953abf9e42c20761020c1.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3420_png_jpg.rf.80c18cb13bc3f8712943c2ad25decc4c.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3420_png_jpg.rf.d6e1b4e68568a3cb97713622a8a55629.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3425_png_jpg.rf.0e3281dc4da04de7d481229c9670d49d.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3425_png_jpg.rf.42c7e91dc128a6d83166f16996ca9087.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3425_png_jpg.rf.5bf74200391c5702eefc9716bfc4d95d.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3425_png_jpg.rf.81c310907adfe5decbfec84c51d24393.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3425_png_jpg.rf.ecfcd800094a99dc6dcdf4b20f68a45f.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3425_png_jpg.rf.fc5101bf3a77826caeaa478878117999.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3535_png_jpg.rf.4d66dbc2438f041535cc12f152d3a956.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3535_png_jpg.rf.c8e6d41e014909527db49bd3c9317250.jpg,11,2.69E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3535_png_jpg.rf.d9885d9a6bdcb29f5d1934445afd0512.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3540_png_jpg.rf.b1363a68316c5d3f774fd16ac6049f05.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3540_png_jpg.rf.d12f06f1d5436750b3bf7752bdba5e61.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3540_png_jpg.rf.ed0155be81195261c52ace7afb4ae293.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3545_png_jpg.rf.1697034c913626f95c330da958f22542.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3545_png_jpg.rf.57efaeac3328431ff25904b7e839d6f6.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3545_png_jpg.rf.99ab6367b09642ca8fc5e64d9c8bdac6.jpg,10,2.44E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3545_png_jpg.rf.b6253c5658c26b0e46d6552da04bf184.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3545_png_jpg.rf.e278cd78b25393f2cf8dbd9d44705f84.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3545_png_jpg.rf.f8a9f765779126b0a42f6df3d47ba302.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3550_png_jpg.rf.6eb429ac4f447abbfb6d1d29ad295c7c.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3550_png_jpg.rf.b241917336eca05164dd3e00edcaf7a6.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3550_png_jpg.rf.be90a3878812359833a9dd0ac8c53485.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3560_png_jpg.rf.8381c05ae10e7664467c58e048a33f8a.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3560_png_jpg.rf.ce77babaea86d1c7e9098710cbe94f00.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3560_png_jpg.rf.d53a972f95af47c1870231f2337d9b82.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3570_png_jpg.rf.42cfd66c6a8c230b6a2405f1d87eee13.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3570_png_jpg.rf.495c7c8c6bc80a4e882d0452d19e0a74.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3570_png_jpg.rf.e44eaa1265945b202a728d3c6e85a103.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3575_png_jpg.rf.23ac90fbef0e6bdd8c3956e5abb47116.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3575_png_jpg.rf.5a498e00ffdf979c8394b35980d318a1.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3575_png_jpg.rf.5cdfee42a6162f11271e53c29b7e83aa.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3575_png_jpg.rf.67b0e8db701da4281014041f350f92a9.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3575_png_jpg.rf.a7acde90cf7c38dd5117f438140f7a81.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3575_png_jpg.rf.d4eef2f018e0dbc32bb68c1cbf741a1e.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3680_png_jpg.rf.1555d969854b278f4a6ce025e2ec3249.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3680_png_jpg.rf.53451a619a6392219d86c1ae2cc30049.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3680_png_jpg.rf.59fb9d8b865de422010b89f526f38ece.jpg,8,1.95E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3680_png_jpg.rf.86f440793bc481f7a7fb7b6c1f60e38a.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3680_png_jpg.rf.a5b0490ca72293d8521093765dc34872.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3680_png_jpg.rf.c237dc15569c833b83eb174a328bf0d2.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3685_png_jpg.rf.6bb93c4daed703ee070215d2cee9f945.jpg,11,2.69E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3685_png_jpg.rf.821a757dac9a4ff39e5f0ee868dc776a.jpg,12,2.93E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3685_png_jpg.rf.898c5363a8ddc65808fb6f6703ee010d.jpg,11,2.69E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3685_png_jpg.rf.8f60c8d80f469055fe8a572574d031f9.jpg,10,2.44E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3685_png_jpg.rf.df0342e3c34c9539071fc65f44d77109.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3685_png_jpg.rf.e54007aa0b9fb81549adf2afb2681902.jpg,10,2.44E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3690_png_jpg.rf.03394fa9a9f758cad1b9fd2ab3c129c2.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3690_png_jpg.rf.879c8fae92a5e2ec7189a96690bb1eac.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3690_png_jpg.rf.a073b1398ef34caa4e2e59bf5ebc5d33.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3695_png_jpg.rf.0e28b950a073be69c8e02887da4ce83a.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3695_png_jpg.rf.19061cd04262e63f6bc20d19244b2120.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3695_png_jpg.rf.25c5879e65773d9bd491bdddfbb75107.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3695_png_jpg.rf.8c1db92caa0035a7a64fbca79e1ccdb7.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3695_png_jpg.rf.bbaa867a2ecb0cf11bd9f2872dc5a50c.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3695_png_jpg.rf.ca37147b9fa890aff9e7ff1e6fb52a01.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3700_png_jpg.rf.4247d2009ec4f97579ef1d3385580c79.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3700_png_jpg.rf.9c286675f154667f33985e6b8ab2a09d.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3700_png_jpg.rf.9d6830ddfd7a11da6a565c579b9e8f49.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3705_png_jpg.rf.1b87f8c911837dc13652df14a6244c98.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3705_png_jpg.rf.b4c387ac11c6d5f1bf0b15bc791a0688.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3705_png_jpg.rf.f5d315711d93444e7f6b7ed435993256.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3710_png_jpg.rf.2297eb7a4f195c1bd24ec725c4666742.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3710_png_jpg.rf.56a77c4b868403dd7987c89d9ad4af31.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3710_png_jpg.rf.5a6dd35bd5ed20af3028b31eda46b501.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3710_png_jpg.rf.d996e3ab3e1b3f67870295ef1d4aeaed.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3710_png_jpg.rf.df1104d0c11f3777c0c9f31a5fc2bb51.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3710_png_jpg.rf.df80b7a9b3dea65545bbf84ad120bb3b.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3715_png_jpg.rf.1777fe7c0775b355f2734c8f7bc8a5df.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3715_png_jpg.rf.496581e3187a6e8e536c94ca6020ab1b.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3715_png_jpg.rf.61d80da762fea7aab0d4ff81ecfcd76b.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3715_png_jpg.rf.6ec4eac09b64a7ff65d022a3e8c39883.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3715_png_jpg.rf.7dc6689c82b6e1d2c114c8970cd6657e.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3715_png_jpg.rf.b3934e27981f1149e0c7704713771d7f.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3720_png_jpg.rf.8baf1840832a2a18fdab769163f36ab4.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3720_png_jpg.rf.c06d7e5b8ee66104f84a5ac0a6be4631.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3720_png_jpg.rf.e5107f0dc64603911554a495c6582a27.jpg,0,0
A:/ai_project/traffic-detection-project/train/images\aguanambi-3725_png_jpg.rf.0e75782e984af1933d4c0bcd04c5e541.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3725_png_jpg.rf.9d813dc5e3d80fdb970945734c85dfdd.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3725_png_jpg.rf.e45356c312f8d2be2d4c13842d170cd0.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3820_png_jpg.rf.ac22b171a5a501fe88c56d2b70381f65.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3820_png_jpg.rf.c1d2407af070ad90e98cb1c7dbb74297.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3820_png_jpg.rf.ccd434b738c2bfe4369dc81d09d6eeb7.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3825_png_jpg.rf.39466cab2ba15b59c1af0d7d2e2b4e9e.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3825_png_jpg.rf.3cfefb9f6e954fbaed24a48a56ec21c0.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-3825_png_jpg.rf.f6809b8453896eaa5845d1ba71a36873.jpg,5,1.22E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3830_png_jpg.rf.416ad7e669f681ec3c71d055fd73eb6f.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-3830_png_jpg.rf.50c31c5d9202977a162116770cdbd66b.jpg,7,1.71E-05
